x;type
763759525.Hard palate;Hard palate
763820215.Hard palate;Hard palate
763840445.Hard palate;Hard palate
763860675.Hard palate;Hard palate
763880905.Hard palate;Hard palate
763901136.Hard palate;Hard palate
763921366.Hard palate;Hard palate
763982056.Hard palate;Hard palate
764002286.Hard palate;Hard palate
764042746.Hard palate;Hard palate
764062976.Hard palate;Hard palate
764083206.Hard palate;Hard palate
764143897.Hard palate;Hard palate
764184357.Hard palate;Hard palate
764224817.Hard palate;Hard palate
764245047.Hard palate;Hard palate
764285508.Hard palate;Hard palate
764305738.Hard palate;Hard palate
764325968.Hard palate;Hard palate
764346198.Hard palate;Hard palate
764366428.Hard palate;Hard palate
764447348.Hard palate;Hard palate
764467579.Hard palate;Hard palate
764487809.Hard palate;Hard palate
764508039.Hard palate;Hard palate
764588959.Hard palate;Hard palate
764649650.Hard palate;Hard palate
764669880.Hard palate;Hard palate
764750800.Hard palate;Hard palate
764811490.Hard palate;Hard palate
764831721.Hard palate;Hard palate
764872181.Hard palate;Hard palate
764892411.Hard palate;Hard palate
764953101.Hard palate;Hard palate
765013792.Hard palate;Hard palate
765034022.Hard palate;Hard palate
765074482.Hard palate;Hard palate
765094712.Hard palate;Hard palate
765135172.Hard palate;Hard palate
765155402.Hard palate;Hard palate
765195863.Hard palate;Hard palate
765216093.Hard palate;Hard palate
765256553.Hard palate;Hard palate
765276783.Hard palate;Hard palate
765317243.Hard palate;Hard palate
765337473.Hard palate;Hard palate
765377934.Hard palate;Hard palate
765560005.Hard palate;Hard palate
809635352.Hard palate;Hard palate
863126187.Hard palate;Hard palate
892969023.Hard palate;Hard palate
937495960.Hard palate;Hard palate
953045535.Hard palate;Hard palate
970836795.Hard palate;Hard palate
147406386.Keratinized gingiva;Keratinized gingiva
158013734.Keratinized gingiva;Keratinized gingiva
158114885.Keratinized gingiva;Keratinized gingiva
158155345.Keratinized gingiva;Keratinized gingiva
158216035.Keratinized gingiva;Keratinized gingiva
158236265.Keratinized gingiva;Keratinized gingiva
158276726.Keratinized gingiva;Keratinized gingiva
158398106.Keratinized gingiva;Keratinized gingiva
158418336.Keratinized gingiva;Keratinized gingiva
158438567.Keratinized gingiva;Keratinized gingiva
158458797.Keratinized gingiva;Keratinized gingiva
158479027.Keratinized gingiva;Keratinized gingiva
158499257.Keratinized gingiva;Keratinized gingiva
158721788.Keratinized gingiva;Keratinized gingiva
158742018.Keratinized gingiva;Keratinized gingiva
158802708.Keratinized gingiva;Keratinized gingiva
158822939.Keratinized gingiva;Keratinized gingiva
158883629.Keratinized gingiva;Keratinized gingiva
158924089.Keratinized gingiva;Keratinized gingiva
158944319.Keratinized gingiva;Keratinized gingiva
158964549.Keratinized gingiva;Keratinized gingiva
158984779.Keratinized gingiva;Keratinized gingiva
159005010.Keratinized gingiva;Keratinized gingiva
159025240.Keratinized gingiva;Keratinized gingiva
159085930.Keratinized gingiva;Keratinized gingiva
159146620.Keratinized gingiva;Keratinized gingiva
159166850.Keratinized gingiva;Keratinized gingiva
159227541.Keratinized gingiva;Keratinized gingiva
159247771.Keratinized gingiva;Keratinized gingiva
159389382.Keratinized gingiva;Keratinized gingiva
159470302.Keratinized gingiva;Keratinized gingiva
159713063.Keratinized gingiva;Keratinized gingiva
159733294.Keratinized gingiva;Keratinized gingiva
160744799.Keratinized gingiva;Keratinized gingiva
160825720.Keratinized gingiva;Keratinized gingiva
160866180.Keratinized gingiva;Keratinized gingiva
160886410.Keratinized gingiva;Keratinized gingiva
160906640.Keratinized gingiva;Keratinized gingiva
160947100.Keratinized gingiva;Keratinized gingiva
160967330.Keratinized gingiva;Keratinized gingiva
160987560.Keratinized gingiva;Keratinized gingiva
161007791.Keratinized gingiva;Keratinized gingiva
161270782.Keratinized gingiva;Keratinized gingiva
161473083.Keratinized gingiva;Keratinized gingiva
161554003.Keratinized gingiva;Keratinized gingiva
178713055.Keratinized gingiva;Keratinized gingiva
208027353.Keratinized gingiva;Keratinized gingiva
246515023.Keratinized gingiva;Keratinized gingiva
256789458.Keratinized gingiva;Keratinized gingiva
275382046.Keratinized gingiva;Keratinized gingiva
289996019.Keratinized gingiva;Keratinized gingiva
295137534.Keratinized gingiva;Keratinized gingiva
336497421.Keratinized gingiva;Keratinized gingiva
368533040.Keratinized gingiva;Keratinized gingiva
370027359.Keratinized gingiva;Keratinized gingiva
370425937.Keratinized gingiva;Keratinized gingiva
375450439.Keratinized gingiva;Keratinized gingiva
404239096.Keratinized gingiva;Keratinized gingiva
414519462.Keratinized gingiva;Keratinized gingiva
451588811.Keratinized gingiva;Keratinized gingiva
465578759.Keratinized gingiva;Keratinized gingiva
492786515.Keratinized gingiva;Keratinized gingiva
508703490.Keratinized gingiva;Keratinized gingiva
517810313.Keratinized gingiva;Keratinized gingiva
553359145.Keratinized gingiva;Keratinized gingiva
604812005.Keratinized gingiva;Keratinized gingiva
612472597.Keratinized gingiva;Keratinized gingiva
638754422.Keratinized gingiva;Keratinized gingiva
643185023.Keratinized gingiva;Keratinized gingiva
650853796.Keratinized gingiva;Keratinized gingiva
658594300.Keratinized gingiva;Keratinized gingiva
663835652.Keratinized gingiva;Keratinized gingiva
668248235.Keratinized gingiva;Keratinized gingiva
682449369.Keratinized gingiva;Keratinized gingiva
686765762.Keratinized gingiva;Keratinized gingiva
737052003.Keratinized gingiva;Keratinized gingiva
763395383.Keratinized gingiva;Keratinized gingiva
763435843.Keratinized gingiva;Keratinized gingiva
763456073.Keratinized gingiva;Keratinized gingiva
763476303.Keratinized gingiva;Keratinized gingiva
763516763.Keratinized gingiva;Keratinized gingiva
763536994.Keratinized gingiva;Keratinized gingiva
763557224.Keratinized gingiva;Keratinized gingiva
763597684.Keratinized gingiva;Keratinized gingiva
763638144.Keratinized gingiva;Keratinized gingiva
763678604.Keratinized gingiva;Keratinized gingiva
763698834.Keratinized gingiva;Keratinized gingiva
763719065.Keratinized gingiva;Keratinized gingiva
763759525.Keratinized gingiva;Keratinized gingiva
763820215.Keratinized gingiva;Keratinized gingiva
763840445.Keratinized gingiva;Keratinized gingiva
763860675.Keratinized gingiva;Keratinized gingiva
763880905.Keratinized gingiva;Keratinized gingiva
763901136.Keratinized gingiva;Keratinized gingiva
763921366.Keratinized gingiva;Keratinized gingiva
763982056.Keratinized gingiva;Keratinized gingiva
764002286.Keratinized gingiva;Keratinized gingiva
764042746.Keratinized gingiva;Keratinized gingiva
764062976.Keratinized gingiva;Keratinized gingiva
